,User,Date,Review
49,laxmanlal1621,10 months ago,Till now I have watched this trailer upto 300 times but still the vibe is not getting rid over 
50,subashm3414,4 months ago,Still the trailer looks fresh after 10 months 
51,VVS-1999,11 months ago,"2023 ஆம் ஆண்டும் தமிழ் சினிமாவ நம்ம ஆண்டவர் தான் காப்பாத்துனும் போல..... 
 வெயிட்ங் 
இந்தியன் 2"
52,himeshbalmik7630,3 months ago,1 Year Of Vikram Trailer Totally Goosebumps Movie
53,Guruprasadvgp,1 year ago,"The Lokesh kanagaraj ""MULTIVERSE"" "
54,youtubechannelofdeva,1 year ago (edited),"People who are watching 2,3,4 .. times in theatre are just came again to adore/witness this masterpiece world with 4 acting legends& 1 musical phenomenon"
55,knowledgeworld7872,10 months ago,That's what we call a action movie 
56,mr.detectiveofficial,2 months ago,1 Years Of Lokesh Sambavam ️
57,massinasl,1 year ago,The best tamil movie ever watched in my life. No words to explain.
58,sivashatish4030,4 months ago,Who”s waiting for Vikram part 2 
59,aravindvenkat,1 year ago,அரசியலில் இவருக்கு தொண்டர்கள் இல்லாமல் இருக்கலாம்...ஆனால் நடிப்பில் இவருக்கு கோடான கோடி ரசிகர்கள் இருப்பதே நிதர்சனம்...️ #Kamalhassan
60,tadkavideos12,1 year ago,Kamal sir I felt sorry that I couldn't watch vikram at theater. The background music was awesome. Hats off
61,hadimustafahussain8831,1 year ago,What a movie.... Goosebumps 
62,kalakalakalakalak,5 days ago (edited),From 1:25 pure goosebumps till end!!! Eagle is coming!!! Loki's + Ani magic 
63,karunakarreddy8224,1 year ago (edited),Every scene every BGM just goosebumps man wat a movie waiting for kaithi 2 
64,mohanjmohan7111,3 months ago,One of the best goosebumps trailer.... 
65,rajnandha3402,1 year ago (edited),"அடுத்த சூப்பர் ஸ்டாராக யார் வேண்டுமானாலும் ஆகலாம் ஆனால் அடுத்த உலகநாயகனாக எவனாலும் ஆக முடியாது. Kamal hassan is masterlike film maker, forever"
66,tusharkumar8750,11 months ago,"Still can't able to believe they made a Movie with a Fantabulous and absolutely legendary cast like
KAMAL HASSAN SIR
FAHAD FASIL 
and my personal favorite
VIJAY SETUPATI
Absolutely Terrific "
67,ajaydevganiya7184,1 year ago (edited),"I just want to say , why vikram team not promote this masterpiece  for hindi audience ? 
Waiting for 
second part "
68,meglami8519,6 months ago,"This movie is some kind of a magic to be honest!! Watched this movie almost 7 times. Still the trailer looks fresh and goosebumps guaranteed.

It’s going to take sometime for Tamil Cinema to give similar kind of movie where everything fell on place for perfection!"
69,riazsayed7653,10 months ago,What a movie....hats off to Kamal Hassan and the entire team. Perfect story line...cant wait for Vikram part 2.RS from South Africa well done.
70,cartoonworldt673,7 months ago (edited),யார் லாம் ஜெயிலர் ️டிரெய்லர் பாத்ததும் இந்த டிரெய்லர் பாக்குறது
71,sobhinkraghavan6200,1 year ago,"There was little expectation when the first teaser came out, expectations were high after the Glimpses video, and now when the trailer comes out it is 100 times more than expected"
72,kwtm,1 year ago,It's good to see the development of Indian films ️
73,gamingarena3063,1 year ago,"1:28 the surprise element 
Loki Nailed It 
Kamal Hassan At The Age Of 67 Giving Chills To The Audience "
74,SudeepShrestha-tm3cz,6 months ago,"Loved how the director hide secret character in whole trailer and movie 
rolex just going crazy all over world
waiting for thalapathy"
75,itsakvoice3582,11 months ago,I didnt expect that this movie would be tamil ‘s one of the best thriller movie. Love it
76,selvakumarrr1115,2 months ago,Now i watch this trailer again and again 
77,amalkrishnanu3212,1 year ago,our film industries are moving to  a single brand name.. no language barriers  . The ultimate   INDIAN CINEMA   
78,anand7447,9 months ago,STILL GOOSEBUMPS
79,ShivaKumar-jr8oc,1 year ago,"Ultimate direction, everything is best with the movie, bgm, vfx, acting. Ulaganayagan, sethupathi marvellous acting, surya's goosebumps overall power packed movie. Looking forward for more with lokesh cinematic experience. All the best"
80,roveeth.gun2567,1 month ago,"Still Goosebumps 
Waiting for Leo Trailer "
81,ashlight3812,1 year ago,this is one of the rarest movie where even after 2 weeks the hype is still there.
82,suriyanarayanan464,7 months ago,I am thala fan but thalapathy 67 will change tamil industry 
83,lokeshkannan2997,4 months ago,Iconic Movie of Tamil Cinema 
84,thesoulsurvivor6046,1 year ago,This is cinema .. this is what stands for the best screenplay and direction for such an awesome story ..  this is what is called an action movie 
85,kirtisingh9391,1 year ago,I am north indian and I just finished tha Masterpiece!!! Absolutely amazing just blown you mind !!! That's show how indian cinema craft 
86,mehraabhossain5333,1 year ago,"My God ! what a screen play man !  I just got thundered. After watching Kaithi, I just got the real test of action suspense movie.  South is just best film industry as they're giving one after one masterpieces Love you team South. 
Kamal Hasan, Vijay , Fahad and Suriya-> best and best."
87,karthikselvarajorathanadu1137,2 months ago,One year of Vikrammm! Still மண்டைக்குள்ள ஓடுது  இந்த  . Main ah 
88,abheet009,1 year ago,I watched the movie twice in theatre and am still addicted to this trailer
89,tamilselvi-wl9jp,7 months ago,After seven months passed but still trailer gives fresh and goosebumps
90,favazmohammed531,1 year ago,When only actors not ‘Stars’ come together for a movie … this is what we get 
