,User,Date,Review
240,princen.k.8210,1 year ago,As a malayali I am super excited to see Fahal Fasil uniting with...super talented Vijay and Kamal Hassan sir... Love this trio.... Love to all my Tamil brothers!!! Let's celebrate this masterpiece!!
241,malaysiathalapathyvijayfan3805,7 months ago,Waiting for Thalapathy 67 
242,ThennarasanSelvaraj,6 months ago,"watched full film n number of time , Still this trailer doesn't fail to give goosebump"
243,praticm2846,6 months ago,"This movie will always be great to me, came at a time when few industries were trolling us that our movies are just hyped for money, this movie shut their mouths"
244,srinivaschavaly7290,1 year ago,Man what a masterpiece movie!Kamal Hassan Faahadh Vijay sethupathi have rocked this movie!!waiting for the sequel 
245,abdulrazik9162,3 months ago,Marana waiting for leo trailer 
246,storywala88,1 year ago,This is going to be phenomenal. Three great actors together in one movie.
247,kohlee,11 months ago,Within few years bollywood is going to remake this as well. I’m glad I’m stuck to originals️
248,pullarperan1356,1 year ago,Song loop பன்னி keturuken அனால் Trailer repeat பன்னி கேட்டது இதுதான் முதல் முறை unlimited repeat 
249,samimmollah6540,3 months ago,Best movie of my life 
250,nadeemk3641,1 year ago,What a movie guys .Kamal Hasan sir done what a terrific job it's just outstanding just go and watch . waiting for 2 part 
251,mdsameerudin1136,6 months ago,"Who are watching this after ""LEO""️ promo "
252,taskinahmed5227,1 year ago (edited),2:10  just goosebump 
253,rgraicenzo5530,6 months ago,Waiting for thalapathy 67 announcement teaser 
254,AbhiShek-lf5gr,8 hours ago,0:40 goosebumps 
255,ganesanpattavarayan3959,4 months ago,Kamal Haasan sir THE BRAND OF INDIAN CINEMA
256,kv7732,1 year ago,"Congratulations Vikram team! Well crafted, mass and class, mindblowing, amazing movie!"
257,shakthivinayagam7779,4 months ago,ANY DAY VIKRAM HYPE>>>>
258,imaddraider,1 year ago (edited),"2:23 pure Goosebumps 
Lokesh pure fanboy sambavam, can't wait to see this on theater "
259,niroshancreation3212,7 months ago,Thalapathy+loki+Anirudh ️ combo kku waiting...
260,rajulilhare2308,1 year ago,"After watching the climax scene,we all want kaithi , Vikram and Fahad fasil in one movie"
261,Ryan-ss3ml,5 months ago,"I'm not a fan of indian movies... but holy shitt, this movie is lit "
262,skmustafa6880,11 months ago,What a movie masterpiece
263,alistairanto7668,6 months ago,Who are waiting for thalapathy 67 
264,muniandyy,1 year ago,"The next Goosebumps movie is coming out in theaters soon, you guys are ready...
Vikram...
Vikram...
Vikram..."
265,arpithjayakumar4617,2 months ago,"It's been an year where Tamil cinema has been PEAKED
Lokesh Sambavam"
266,mohemedalthaf4318,6 months ago,#thalapathy67 going be like this masterpiece 
267,srinivasanvennila7328,3 months ago,Who come after LEO 
268,gauravbhatia3629,1 year ago,Another rock solid movie by south..what a acting by every character...
269,rambo32932,2 months ago,1 year Of Vikram 
270,its_karthi_yoo,1 year ago,This line ''ஒத்த பாதுக்கலாம்''pure goosebumps. Can't wait for June 3.FDFS confirm
271,padamkalachalil5722,1 month ago,"It is so good can,t wait for leo"
272,Thugs-SigmaMales,2 months ago,I even can't come out of the effect of this blockbuster film.. After 1 year.Really ultimately.. Best film of all time.. The best movie ever seen in my life.
273,lingesh6417,6 months ago (edited),One of the best trailer in kollywood
274,kartikchowdhry8247,1 year ago,Ultimate movie waiting for part 2 Kamal sir and surya 
275,dulalpathan2045,4 months ago,South industry know that how to present a 67 years old actor ️
276,kavivijay,1 year ago,0:25 VJS' eyes!!! Goosebumps moment 
277,chan-ra3268,11 months ago,Once again trailer 
278,roshu4446,1 year ago,"Ufff goosebumps...watched this...not even a single  second was bored...
Wooow wat a movie yar "
279,danishwaran4504,7 months ago,7moths 43M but thunivu 6days 56M...AK power 
280,sairohit1429,1 year ago,Who would have thought this to be a mass rampage in the making 
281,home7even,2 months ago (edited),masterpiece
282,reddevil8315,1 year ago,"The time has come back again to showcase the potential of Tamil Cinema. This Film would show d Nation what Tamil Cinema is capable of and with d Casting of Legends like Kamal Haasan Sir, Vijay Sethupathi & Fahadh Faasil it would be lit to watch them on Screen. This Film would break all d barriers at the Box-Office 
#KamalHaasan
#Lokesh
#VijaySethupathi"
283,riaj443,1 year ago,Faihad Faisal acting just 
284,SubbirHosain,1 year ago,No doubt best movie of the year so far
285,dibeshrio7596,1 month ago,Who's waiting for LEO Trailer like this
286,pavithrankt2597,1 year ago,Who are all missed Karthi's presence in Vikram?
287,saralrebekkab5016,4 months ago,Vikramyaarellam vikram-2 kku wait panringa️
288,santhosh5528,1 year ago (edited),1:33 Goosebumps 
289,emmanuelrajkumar3643,1 year ago,"After watching the movie 
It's a good payback for those who underestimate Tamil industries.....
     We are the best of the best"
290,ssr6731,1 year ago (edited),Best movie ever.. Each n everyone in the movie played a fantastic role
291,sathishsk2000,6 months ago,Singam - Leo  Thalapathiiiiiiiiiiiiii 
292,kannankiran7484,1 year ago,"1- Vijay sethupathi simply Amazing, 
2-Fahad wwwooowww  
3- SURYA - FIRE  
4- KAMAL SIR - No WORDS "
293,subrataghosh5082,4 months ago,Surya s cameo was amazing
294,vinodn3638,1 year ago,"This movie is Avengers of Indian cinema, every superhero from hero to villain has a story of their own.... absolute masterpiece... Legend Lokesh"
295,Captain-gz1ml,1 year ago,this is a masterpiece ️️
296,alexkiran4212,1 year ago,"When Bollywood bringing the shit
Kollywood is creating the master piece the love of Tamil cinema never ends."
297,stanleyathish4988,1 month ago,#naready 3.5cr in 6 days almost close to #Vikram trailer 4.5cr in 1 yr
298,olex5902,9 months ago,Still the best Teaser 
299,pirateeditz2647,7 months ago,"After watching thunivu and varisu .. I felt this trailer is  better ...

Hit like .. if u r watching in 2023"
300,rahulvanaparthi3521,1 year ago (edited),"From 1:32 till end... That was one of the best sound design I've ever seen

The Eagle is coming "
301,giassamrat416,1 year ago,"After Pushpa, there is another masterpiece from the South. Surya's entry was mind blowing."
302,chandrika83,1 year ago,"Wow thanks to the  terrific combo for such a mass movie : Kamal sir, Vijay Sethupathi, Fafa, Narain, surya, agent tina, Lokesh Kanagaraj. Anirudh's usual magic in bgm. Waiting for part 2"
303,prakash9198,6 months ago,Anyone after LEO   title teaser......... 
304,varun7104,1 year ago,"watched it yesterday in Meerut
Everyone was saying it masterpiece 
Just awesome 
Thanks for making this movie tamil brothers"
305,oceanbrahmin,5 months ago,Fahadh / Vijay / Suriya / Arjun Das 
306,Crazyboy-pu2ub,1 year ago,Can't stop thinking about this trailer. So excited for the movie
307,mohammedilham3766,1 year ago,"Start to end Excellent Scenes, Kamal vijay sethupathi and fahad faazil acting is superb. Camera,Action Sequence amazing wonderful movie of the year"
308,samuelmekaat7722,1 year ago,By the way Rajinikanth might do a movie after Surya and Vijay but for those who don’t know Lokesh Kanagaraj  has offered this movie to Rajinikanth. So that means if this was his movie it’s going goose bumps all the way.
309,-EC-Roshini,4 months ago,Waiting for LEO
310,thisizngk,8 months ago,"Just imagine
 Amar + Dilli + Vikram × ROLEX sir"
311,Thalapthyeditz3210,4 months ago,Leo trailer ku waiting
312,SamirKumarSahu,1 year ago,Three brilliant actors in one movie. Worth the wait !!!
313,tazreanalrifty814,1 year ago (edited),"In KGF chapter 2 its just Rocky vs all. Rocky's maa maa maa etc. 

But in next Vikram 2 . Vikram, Dilli, Amar vs Rolex. What a movie!!"
314,rikchakraborty9645,1 year ago,Entry of Agent tina gave me biggest goosebumps
315,abcabc-fg4sd,2 months ago,"Waiting for leo glimpse 
June 22 ️"
316,meenalochanim2528,1 year ago,The best trailer of 2022 ️
317,chandupaimagam2819,7 months ago,Just goosebumps Vikram marana waiting sequel 2  lokesh master piece
318,jackiechan8885,1 year ago,"Marana waiting to see lokesh Kanagaraj screenplay
Kamal + Vijay Sethupathi + FaFa = Adipoli 
As usual Anirudh bgm "
319,abhishekmp6079,8 months ago,Just came to watch Fahad ..and got a massive cinematographic experience 
320,ROSUJACOB,1 year ago,"Vijay Sethupathi vera level!! Excellent cast selection.Fahad,Chemban Vinod...Kamal all did an excellent job... thoroughly enjoyed the film..will watch again when it comes on OTT platforms."
321,machiavelliniccolo638,2 months ago,Best actor in the movie  :  vijay sethupathi
322,ananthuexplainer9087,1 year ago,"What a movie with adventure, thriller and action.
Waiting for next"
323,mukeshmn2048,6 months ago,Who is Here After Leo - Bloody Sweet Promo.....
324,sharathmenon2608,1 year ago,Three of the finest actors in Indian cinema together! This will be historic!
325,nehapriyadarshini1477,1 year ago,I just loved this movie a hell lot ️
326,sumonrahath4342,10 months ago,"OMG  
killing voice "
327,TheContentThief007,3 months ago,Who is here after watching leo promo ? 
328,kumaroopabainapalli1241,1 year ago,What a movie yaar mind-blowing goosebumps awesome bgm music story and content screen play was  biggest blockbuster on this year
329,SillyHaaris,7 months ago,Waiting for thalaphathy 67 to be like this
330,intovishnu,1 year ago,Lokesh lived upto the Expectations !! A must watch Movie.. Kamal Hassan is just unbelievable - Fahad Fazil is getting better after every film - Vijay Sethupathi when he is on screen there is another level aura - Chemban Vinod & Naren well acted .. Surya just rocked it in 10 minutes.. waiting for the next part.. Thank You Lokesh Kanagaraj ️ from Kerala 
331,_kirtideshmukh,1 year ago,Loved it ️
332,harfullsinghrathod3719,1 year ago,What a movie............ everything is just superb........pure action
333,sarathrohitian3451,8 months ago,Best Trailer in 2022 
334,vibhorbijoy6583,1 year ago,"Just watched yesterday deserves an oscar , A true masterpiece"
335,saivaibhav7540,8 months ago,"Dec 2022 .
Still goose bumps.
Wat a movie."
336,commanman8325,1 year ago (edited),"Mentioning Anbuarivu for stunt in the trailer is real respect for Stunt team
2:38"
337,demonslayercorps,1 year ago,Literally ! Goat level suspense and story line 
338,lovedalestudios,1 year ago,Agent Tina's fight scene gave me goosebumps....️‍️‍️‍
339,msvijay7187,6 months ago,Tomorrow Thalapathy67 titled revel hype ethuvom
340,akshadapanse4642,1 year ago,"Watched the film 2 times, will watch again "
341,bigilbeats,6 months ago,Waiting for Thalapathy 67
342,venkatasubramaniank.v.683,1 year ago,"I have watched the movie twice. Can’t get over it yet and will watch it few more times. Watching this trailer now gives me more goosebumps. What a stunner from Ulaganayagan. Thanks Lokesh for showing this facet of him so well. 3 cheers to Anirudh, Fafa, VJS, all actors and especially Stunt masters. They are the soul of the movie along with BGM. Apt dialogue for Ulaganayagan - “ungalukku vayasu aagadhu”"
343,moeak7935,1 year ago (edited),Watched it yesterday! What a movie! They killed it but last scene was the best tbh!
344,Arjun-zs5qn,11 months ago,Master piece 
345,shrinnivasan7014,5 months ago,Still one of my favourite trailer
346,dbshah574,1 year ago,Vijay Setupati is a tremendious actor....whatever charecter he does he he is in it....
347,varnam7568,7 months ago,Masterpiece movie
348,ganeshmech896,1 year ago,"0:11 , 1: 28 thalaivan surya scene just 2 secs makes Goosebumps "
349,ananthuexplainer9087,1 year ago,Fully of goosebumps
350,pavinkumar9516,1 year ago,Masterpiece
351,sarovlogs2245,1 month ago,Trailer pakama movie patha adhuvum fans show one of the best experienced and satisfied movie 
352,umarfarooq123,1 year ago,They didn't even show surya here to make a difference level of surprise  ..amazingunbelievable
353,user-hk2ky3on6h,6 months ago,"சிங்கம்... தளபதி 
 சூர்யா .... தேள்
விஜய் சேதுபதி... பாம்பு
கமல்...கழுகு 
 கார்த்திக ... சிறுத்தை 

....ᴋɪɴɢ..ᴏꜰ ᴛʜᴀ...ᴡᴏʀʟᴅ ..ᴍᴏᴠᴇɪ ...ʟᴄᴏ "
354,NavenkumarSelva,1 year ago,This trailer deserves way more than 1 million likes!
355,thegamerslibrary4843,1 year ago,"Kamal ,Fafa and VJS ,even you miss 5 seconds of the movie ,you will miss some portion of the story...gripping mass and stylish movie..."
356,pastx9,1 year ago,this is masterpiece 
357,user-kp6lq8cg7n,7 months ago,Please please do more of these. I absolutely love vids like this from ya.
358,mrrout1825,1 year ago,"Kamal hasan sir is a living legend, what a movie it was, after a few years hollywood will copy from our south industry, top notch story, top jotch action, that interval that bgm, holy shit it was out of the world"
359,adarsshnarayanan39,3 months ago,G.O.A.T of all Trailers
360,murugadoss3567,1 year ago,யார் என்று தெரிகிறதா.!!  இவன் தீ  என்று புரிகிறதா.!!! ....தடைகளை தாண்டி சரித்திரம் படைப்பவன் ஞாபகம் வருகிறதா    உலக நாயகன் 's comeback ️ ️ 
361,balwinder414,1 year ago,Definitely  going to watch first day first show..love kamal sir
362,aneeshsuresh686,1 year ago,"Super movie️‍ Kamal Haasan sir,Fahadh Faasil sir,Vijay Sethupathi sir,Suriya sir and all other Actors in the movie Great performance Director Lokesh Kanagaraj sir and all Cast and Crew"
363,lakshmimuralibabu6935,6 months ago (edited),WHO ARE WAITING FOR THALAPATHY 67 TITLE TEASER 
364,smitagaikwad8706,1 year ago,Omg.. I was so amazed by see the name of vijay sir 
365,holyhelper7400,1 month ago,Best thriller I have watched till today
366,nostradamus576,1 year ago,INTENSE EMOTIONS from all 3 of them  increases the depth & seriousness of the situations they are thrown into  THIS IS GONNA SMASH THE BOX OFFICE  !!!!!!!
367,drvishnumeher1126,1 year ago,Action ...with music  blaster 
368,santhipsengottuvel,1 year ago,One of the Best ever interval scenes in tamil movies
369,kav253,6 months ago,Who is here after leo bloody sweet promo ?
370,krgcreations3575,1 year ago,Vikram movie superrrrrrrrrrrrrrr..Kamal sir acting amazing..& Vijay sethupathi action also Surya sir end sense superrrrrrr
371,nazeemabegum8205,6 months ago,"In all movies trailer are mass and give expectations but the movie is very normal.
But in Vikram trailer is ok but the whole movies is the power pack of energy "
372,nayanpunwatkar6360,1 year ago (edited),"Yesterday watched in theatre...
Complete masterpiece movie, perfect acting skill,music, action scenes brilliant ...
Best experience in theatre "
373,ashu996834,9 months ago,"Best come back ever kamal hassan, awesome bgm ever"
374,sanusonu4071,1 year ago,"Everyone go and watch this masterpiece on theatres... 
Every scene will give you goosebumps... 

Kamal sir. fafa. sethupathi surya anna. anirudh everyone nailed it.. 

Tottally a complete package of entertainment from lokesh kanagraj the fan boy... "
375,saragamingyt7942,5 months ago,Bloody sweet 
376,ayushpatel3769,1 year ago,Vijay Setupati Next level
377,nandanbr5887,7 months ago,Climax was ultimate
378,theundisputed96310,1 year ago,"Can't stop watching this over and over , they are acting with their eyes , next level acting..."
379,hinduresistance,11 months ago,"Bhaiyo this movie is the best movie I've eveeeeerrrr seen, at first I saw the hall recorded version, fir i felt bad for myself the following day i went to the cinemas to watch it, approx a week before today I saw it with my MAMU from telegram, and now I'm watching the trailer, while the original language version is downloading in the background...... The bgm kills it"
380,monikakhare8981,1 year ago,Mind blowing story and cast... Must watch 
381,manobenihine52,1 month ago,And rest is history 
382,opzyn1495,1 year ago,10/10… can’t wait Vikram 2
383,ALTER_EGO_8,6 months ago,"Leo promo 44,200,000 m views and 1.79 m likes "
384,lau606,1 year ago,"Kamal Hassan + Fahad Fazil + Vijay Sethupathi + Suriya + Anirudh + Lokesh direction 
Eagerly Waiting For This Masterpiece "
385,mishradurgesh600,1 year ago,Masterpiece
386,sathishsurendhar2794,1 year ago,lokesh proved that he can make engaging movie without heroine
387,prashanthaddanki7506,1 month ago,Anirudh bgm 
388,srmkarthik1295,1 year ago,"Already watched 5 time's in theatre, super movie"
389,newmoviehd124,5 months ago,Waiting forLEO trailer go to be blast 
390,theesperanza3553,1 year ago (edited),"Finally Tamil movie industry is here with a mass movie with some logic.
Feels like Kamal Hassan is ahead of the other Tamil heroes who were younger than him . Brilliant casting too and I'm eager to watch Chemban Vinod,Fahadh Fasil, Vijay Sethupathi and Naren perform along with Ulaganayakan "
391,mfayaz9620,1 year ago,Fahad fasil mass acting 
392,superstranger5795,1 year ago (edited),ಒನ್ ಅಪಾನ್ ಎ ಟೈಮ್... ದೇರ್ ಲಿವ್ಡ್ ಎ ಘೋಸ್ಟ್. ವಿಕ್ರಂ ನಾನು ನೋಡಿದ ಅತ್ಯುತ್ತಮ ಸಿನಿಮಾ. ದಯವಿಟ್ಟು ಒಂದು ಸೀಕ್ವೆಲ್ ಇರಲಿ!
393,todayjollytommorowgali3955,1 month ago (edited),#1year offf #vikram
394,najiahamed5028,1 year ago,What a movie I watched 3 times️️️
395,abhishekbasu-kx3te,5 months ago,And that's the reason why I watch Tamil movies...
396,zyxw36,1 year ago,"படத்தைப் பற்றிய எதிர்பார்ப்பை எகிற வைக்கிறது ட்ரெய்லர்!!!
Eagerly waiting the MOVIE "
397,wilfreddsouza5241,1 year ago,Thats called a movie 
398,artdreams9290,11 months ago,Mass Kamal 
399,santhoshkumars2796,5 months ago,"Great movie evergreen, if any haters before vikram movie to Kamal, now sure nobody."
400,RITEONFIRE,1 year ago,One word... MASTERPIECE...
401,wrahul6558,3 months ago,The Sounds of LCU 
402,allahuanugrahikkatte,1 year ago,When Malayalam and Tamil started mixing next level.no one can't beat it
403,aboutme5630,1 year ago,No words ️️️️
404,shashwatyadav9470,1 year ago,I am waiting Vikram return  and ROLEX  it is the big screening upcoming movie in film industry 
405,chukkasatishkumar1838,6 months ago,Kamal sir is universal Hero
406,zakiahmed376,1 year ago,What a mind blowing trailer !!!!
407,rohithkarthikeyan4855,6 months ago,Who after leo  bloody sweet promo 
408,mohamednoordeen9125,1 year ago,யோவ் லோகேஷ் என்னாயா பண்ணி வச்சிருக்க இன்னும் Goosebumps நிக்கலயா 
409,_boii,1 year ago,just watched finished amazing
410,pratimkoch6254,1 year ago,Watched the movie and it feels like Lokiverse has more promising storytelling and thrills than larger than life hero centred movies.
411,blackpearltamil3443,6 months ago,Thalapathy 67 yarellam wait pantringa
412,prasanths3220,1 year ago (edited),Anirudh's Music Album for Vikram Movie is Just Wow...But Every one listen the Music but nobody speaks about him...Sad
413,pkpravin7228,6 months ago,My lifetime favorite movie
414,abhisheksajeev2310,1 year ago (edited),"Kamal Haasan-Fahad Faasil-Vijay Sethupathi-Lokesh Kanagaraj️
It's glad to see malayalam actors Fafa,Chemban Vinod,Kalidas Jayaram,Narain,Cinematographer Gireesh Gangadharan are part of this movie..."
415,Maheswaran1314,1 month ago (edited),Waiting for leo 1st look 2 hours to go
416,govtschool2.082,6 months ago,Kamal voice  /like lion 
417,mrlegend077,6 months ago,Who is here after LEO Title #leo #lcu Singam is here
418,Ai-cp6zl,1 year ago,Masterpiece
419,akashvpl831,6 months ago,Thapathy 67 trailer ku yaralam wait panringa 
420,nabeelmirza6060,1 year ago,This has to be one of the best trailers of all time. So hyped for this. ️️️
421,abhijitgupta8361,1 year ago,"There are very few exceptions in Indian cinema where classes are jumping on there seats and going gaga like masses.
Hats off team Vikram
Eagerly waiting for your next move"
422,akhil__dev,1 year ago,"Despite some minor flaws, it's a pretty good action thriller.
Wish Lokesh used such a style of screen writing for Vijay in Master instead of using Super Star formula."
423,annoyingitachi838,7 months ago,its not just a movie its a revolution....
424,velenciaallwyn3002,1 year ago,One of the best movie I have ever seen Vikram simply the best
425,JdscCricInfo2.0,7 months ago,
426,adithyannair4368,1 year ago,"vijay sethupathi, fahad fasil and kamal hassan- a real treat for Malayalam and Tamil audience"
427,jordanstreamvalley1768,1 year ago,What a masterpiece movie Kamal sir next level Action packed action
428,navaneethkrishnan1313,10 days ago,Music is just 
429,URUTTU-oq6jp,4 months ago,Who want Vikram 2 ️kaithi 2
430,ikhlaqnawaz5651,1 year ago,"Story.
Direction.
Music
Screenplay
Acting
All are incomparable.."
431,prabhuthetrainer3221,7 months ago,One of best trailer .....
432,raheeshthariyath7124,1 year ago,"പടം കണ്ട് കഴിഞ്ഞ് വന്നു ട്രൈലെർ വീണ്ടും കാണുന്ന ഞാൻ 
Goosebumps "
433,v.iishal4950,1 year ago,It's totally 
434,rijith4341,1 year ago,Vere... vere...vere level  padam
435,Devua150,1 month ago,Wating for Thalapathy 67 
436,pranavbhat7439,1 year ago,Masterpiece bgm
437,dharvikuvi1281,7 months ago (edited),என்னமோ தெரியல வாரிசு துணிவு trailera பாத்ததும் விக்ரம் பட trailera பாக்க தோனுச்சி...
438,Anonymous-wx3pj,1 year ago (edited),Ulaganayagan + Surya + Fahad Fassil + Vijay Sethupathi + Lokesh + Chemban Vinod Jose + Narain + Arjun Das voice + Anirudh music = Blockbuster 
439,nikburman1094,1 year ago,Goosebumps when Tina is told his identity
440,ishankvimal4214,1 year ago,"The director should give rolex that same dialogue Vikram gave at the interval scene (aarambikkalamaa) and the bgm also in the next part!
When the two of them meet (personal opinion though) 
Waiting for the next part "
441,sinthiyag5351,4 months ago,Anyone after Leo promo
442,rockstarpanditji1045,1 year ago,Legends are waiting for part 2
443,user-sd1ux1vo5k,4 months ago,1 year of #vikram
444,Sadilahmed,1 year ago,FaFa ️
445,simplegamerz3495,1 year ago,Kamal Sir உடைய உழைப்பும் Lokesh ஓட கற்பனையும் எப்போதுமே வீணாகாது ...
446,TeefoReacts,8 months ago,This movie looks so good!!!!! big love from denmark!!!!!
447,akkiravan7386,1 month ago (edited),2:09 Aandavar Beast mode.. 
448,fejanpathan1518,1 year ago,Masterpiece 
449,garudangaming7987,1 month ago,1:32 
450,raihanshaik8526,1 year ago,Looks amazing and the actions scenes look close to reality. Would love to see it in theaters
451,hemcreations7436,1 year ago,"That goosebumps moment when there was Not any clue of Rolex Suriya in the trailer, and seeing him in the Theatre.. "
452,chandrika83,1 year ago (edited),"Kollywood is equal to amazing actors,  teamwork,  and hard work"
453,thename_krishna001,6 months ago,Thalapathy 67 waiting 
454,deepakjai1091,1 year ago,Watched film. Goosebumps and satisfied with maya BGM
455,manasbhadauria2935,7 months ago,probably the best south Indian movie i ever watched
456,suryad4684,1 year ago,Goosebumps சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் 
457,hilal7639,1 year ago,Theatre goosebumps
458,AGR251,1 year ago,The kind of bgm effect that give us at theatresthakida thakithakki thakida thakki thakki bikram No 1
459,haarshanhaarshan7553,1 month ago,One of the best trailer in recent time
460,antonymanuel5008,9 months ago,He has superseded Nayagan What a movie VIKRAM 
461,ashwininarayan3942,7 months ago,"After Varisu Trailer....
Next Thalapathi 67 "
462,kailash8,1 year ago,நினைச்சதை விட படு பயங்கரமா இருக்கும் போலவே..
463,deepsash6280,1 year ago,"Thankyou for a great movie. Super Super Super. 
Thankyou Lokesh. Thankyou Kamal Sir. Thankyou Anirudh. 
Had a great time. 
3 cheers to all sply to Fahadh and Vijay Sethupathi."
464,gauravbagiya8870,1 year ago,What a master piece...
465,awesomebro9739,1 month ago,Waiting for leo trailer 
466,varunrai2211,1 year ago,What a masterpiece 
467,jeevanjishnu4529,6 months ago,2:12 lokesh kanagaraj in car blast 
468,jithinjohn331,1 year ago,1:45 The eagle is comin ..goosebump seen .. promising actors with promising director…something very special coming.. waiting for June3 
469,vignesh7512,1 year ago,Waiting for part 2
470,mohammedsafwan8895,1 year ago,Vera level 
471,memorablemoments001,5 months ago,Vijay sethupathi 
472,vik0_052,10 months ago,This whole trailer is a vibe
473,yes_sir_ok_sir_just_sir,4 months ago,LEO WAITING ️
474,chandrashekhar5333,1 year ago,உண்மையான மரண மாஸ் இதுதான்.. எதிர்பார்ப்புகள் கூடிக்கிட்டே போகுது நம்மவரே!! 
475,thalapathy_keshav8186,1 year ago,"Movie ya 3 times paathuten, but intha trailer a paakum pothu innum goosebumps konjam kooda decrease aagala"
476,vsathisvarunsathis7091,1 year ago (edited),"Superb movie,Maas bgm,mass acting"
477,rgraicenzo5530,6 months ago,Waiting for thalapathy Vijay announcement teaser
478,prithambalakrishnan,1 year ago,Vikram was a feast!  What a movie! 
479,kasims9700,6 months ago,who came here after leo title reveal !!
480,sharmimosseram,1 year ago,OMG his voice and action sequences gave me goosebumps. Once a fan always a fan of Kamal Haasan sir.  Waiting impatiently !! 
481,archilpnd,6 months ago,Masterpiece
482,nitishbhandari4829,8 months ago,"Not able to understand a single word but enjoy a lot  
My favourite movie"
483,Fylyp2005,5 months ago (edited),Vikram movie is cool and Kamal Haasan is Nice. I like Vijay Sethupathi and Tamil films. Greetings from Poland 
484,UBGIyyappanSBComSec,1 month ago,G.O.A.T Exists
485,sarfaraznawazhussain6884,1 month ago,How many waiting for leo movie 
486,user-yb9xy7fj4i,1 year ago,"ரசிகர்கள் : சார் இப்ப சமீப காலமாக தமிழில் நல்ல படம் வர்லயே சொல்றவங்களுக்கு என்ன சார் சொல்றீங்க?
கமல் சார் : எனக்கு அரசியல் களம் தான் புதுசு ஆனால் சினிமா களம் பழகின ஒன்று தான் த்தா பாத்துக்கலாம் "
487,ariftamboli18005,1 year ago,"Honestly
 waiting for 2nd part "
488,garimarajput2126,1 year ago,Today I watched this movie…this movie is so awesome I loved it..even I want to watch it again
489,anupchetty6528,6 months ago,Here to analyse how LEO trailer would be. I got the answer it's gonna be fiiiiiiiireeeeeeeee..
490,niraianbu,1 year ago,Hats off to editor !
491,sandhiasurendran,8 months ago (edited),Waiting For Suriya42
492,OneMansChoice,1 year ago,கமலஹாசன் !... Is back  சம்பவம்  இருக்கு ...    * பாத்துக்கலாம் 
493,laxmanlal1621,10 months ago,After 100 days successful run in theatres still trailer craze is not gone yet 
494,kanguvan7330,1 year ago,Top Performers of INDIA  that's Vikram 
495,primarystudywithkapil,6 months ago (edited),Movie Story Superb Blockbuster 
496,diyaguhan2103,1 year ago (edited),1:23 kamal sir's dialogue followed by the bgm.. vere level mass
497,ajithkumarajithkum5602,6 months ago,Wonderful movie 
498,raamkumar2403,1 year ago,Legend is always an legend. Thalaivan Kamalhaasan is gem of cinema industry. Irreplaceable Legend . Waiting for the FDFS . Hope many unexpected goosebumps . Waiting Thalaivaaa
499,shimlarider3318,11 months ago,Such a marvelous movie it is
500,sekarchakravarthi7232,1 year ago,"This is called raw, real, original and true talent."
501,Heisenberg914,3 weeks ago,Watching in 2023 27 July Still goosebumps 
502,keerthikeerthi1785,11 months ago (edited),Rloex character has ruled the movie 
503,HERO-kf4sc,6 months ago,Yarulam after Thalapathy 67 here 
504,durairaj7081,1 year ago,Let's make this film a big success of Tamil cinema ️ Mass acting...
505,rehan174,1 year ago,Damn !! Just watched it 
506,sharvinelangovan2715,2 months ago,Still anthe fire enum koraiyalai vikraaaaaaaam  always Kamal Hassan  fan
507,thanissh7302,6 months ago,Marana waiting for #leo
508,alifkhand4077,1 year ago,Padam pathathukku apram trailer pakkumbothu innum supera irukku
509,crosswalker45,7 months ago,Lot better than Thunivu or Varisu trailer
510,ronalddixon8296,1 year ago,1:45 the song is goosebumps ️
511,msnur9839,11 months ago (edited),"Fight scene dlm cite ni mmg padu. Sound background pun terbaik weh anddd yg paling gempak combination semua pelakon dlm cite ni which is Kamal Hasan, Vijay Sethupathi and Fahadh Faasil. Fuhh lakonan diorang looks real. First time tengok Fahadh berlakon. Love gila dgn Amar character. Ending part Surya tu tak puas tengok. Sbb Surya cameo je.  For me 7.8/10"
512,rashmiraj6856,1 year ago (edited),Omgggg!!!! It's better than Avengers South has once again stood out... I mean dude ...I'm dying...this movie was epic 
513,mrTamilaNadu,7 months ago,"Lokesh
Cinematic 
Universe
#LcU ️ waiting for
Thalapathy-67 
Kaithi-2
Vikram -3
About Rolex 
Agent tine
Agent Amar 
Nepolean (From kaithi movie police) 
Ghosts 
This is Loki universe 
And Last One #IrumbakkaiMayavi ️"
514,Denzil900,1 year ago,Saw this masterpiece yesterday...  waiting to explore Loki's universe ahead!
515,tuntunfm5068,7 months ago,Bgm 
516,NammaOoruPasanga,1 year ago,இவரு Gangster இல்ல Indian சினிமா Monster ... Waiting Kamal Sir ️️️️
517,selsonjoe5205,1 year ago,"Pre-Intermission scene, Intermission and Climax  Mind-blowing"
518,nandhinismart9312,1 year ago,"Vera level movie 
Full interested 
It beats KGF"
519,solotraveller10,6 months ago,LEO ROLEX  VIKRAM  SANTHANAM 
520,abinprem3056,1 year ago,The most talented actor remains forever. 
521,pranavenagarajan9663,6 months ago,who's here after thalapathy 67 official announcement
522,carterjr7892,1 year ago,"Lokesh some touches...

Same Briyani 
Same Gatling gun kind of
Same A single night movie 
And same this movie gives goosebumps to everyone "
