,Users,Date,Review_content
62,subodhmane1398,10 months ago,In this age what an energy....hats off andavar you are the inspiration for everyone
63,Gide_prod,11 months ago,The bass guitar player is incredible 
64,shrestaagarwal1,1 year ago,"such originality and passion, wish more of us indians could learn the spirit"
65,Ekzo-Rover,1 month ago,Watching this song in cinema was amazing
66,SK-ss2dg,1 year ago,என்றும் தமிழ் சினிமாவை தலை நிமிர வைக்கும் ஆண்டவர்
67,sandyff2873,1 year ago,Anirudh music  and Kamal sir performance .. vere level .. thanks to lokesh kanagaraj anna
68,siddharthabose9045,1 year ago,I am a Bengali and i don't understand this song but i really enjoyed this song . Masterpiece song from masterpiece movie ️
69,syedthameem4990,6 months ago,This is my first favorite song  in the world 
70,md.ashik96,8 days ago,Kamal sir always ultimate 
71,JayaLakshmi-gf7gb,3 months ago,Love songs 
72,ceena5761,1 year ago,Kamal Hassan sir's first step of this song is Vera level... What an energy in this age....I can't take my eyes of this step.. Ufff 
73,RajuSheikhEdits,3 months ago,Pure Blast 
74,alomm9789,9 months ago,"One day in future I'm gonna tell my kids and grandkids that I saw the debut and the rise, rise, rise so on of a genius named Anirudh Ravichander...."
75,manishdhar3232,8 months ago,Greatest actor in the history of indian cinema. Truely the legend. Mass respect for my chachi 420. Personality voice vibe
76,joshidohamada2214,1 year ago,"The smile he has and casually dancing….
 ️️️️️️️️"
77,maksudulhasantuhin6365,2 months ago,"Kamal Haasan
Full of Energy "
78,maheswaran2129,1 year ago,0:53 Goosebumps Start...
79,santoshkumartelu8338,1 year ago,His grace in dance simply mesmerizing hats off Kamal sir you're absolutely one only Universal star.
80,kennyrashi,11 months ago,I watch this song sooo many times .ida vera level song love form sri 🇱🇰 kamalahasan always  young man
81,shantanukhalate9654,6 months ago,I love this song i don't know what they saying but I love this song fire song 
82,thetypesoftechnology8672,1 year ago,Language is no barrier to talent...loving the man behind all these masterpieces....Anni
83,Atanu_Acharjee,5 months ago,He proves that age is just a number️️
84,maestroofmelodies1347,1 year ago (edited),"TRIVIA : During this song shooting , his foot was injured and a metal plate was placed inside it. Even so, he danced as much as he can with dedication."
85,bofooitgojo451,1 year ago,I really don't know when I come in this age I can even go to a theatre and watch a movie !!!!! What an energy...Kamal sir ️️
86,yongcc0610,5 months ago,This song brings positivity
87,rizwanfoodie,1 month ago,Day by day vibes getting increased
88,Rongsiteff,5 months ago,Awesome ️️️
89,ajomonjoseph5985,9 months ago,Kamal Sir's Voice & DanceAni's beat
90,ahamedameer5849,1 year ago (edited),"I expect uncut version but so sad
But his passion towards cinema is ultra level no one equal him"
91,kannankalasankar8366,1 year ago,I love this song
92,JAY-oo3rh,1 year ago,Lyrics  I'm addicted
93,ChandanDas-cp5sd,6 months ago,"Kamal Sir made my day, always inspired me"
94,ToonaTales,1 year ago,Mind blowing song ever
95,electroscience3750,10 months ago,Can't understand single word but it makes me dance from top to bottom
96,akashacharya3586,1 year ago,You dont get to see grace in every dancer who dances good...only few have it..and here 101% Aandavar has that grace..
97,sanjanamudaliar5685,11 months ago,These songs make a history in every hearts
98,ramkannaji,1 year ago,"Best Choriography in Decade..
Best performance from Kamal sir"
99,jithinroby8149,9 months ago,Nice song
100,pbshort1619,1 year ago,Don't understand a thing but I love this version equally to superhit bollywood version. Truly music is universal language 
101,sumedhshindey,4 months ago,"This song deserves an Oscar . What amazing choreography , music and above all the great Kamal Haasan ️️️"
102,derrickjason2696,1 year ago (edited),From 1:55 to 2:04 - Amazing camera movement and dance moves. They complement each other. Kamal Sir and the boys nailed it  semma....
103,jishnusurendran6146,1 year ago,Firstly I heard this song I don't like but now awesome 
104,GSPrasanthKumar,1 year ago,Pathala Pathala still on Number 1 
105,s.kaneshkar.6878,2 months ago,Super song
106,jmoola,1 year ago,Dope song love it and addicted
107,MrWho-ss3mz,4 months ago,That la la la ... Is just 
108,shaikpspk5706,1 year ago,"ఈ పాట అంటే ఎంత మందికి ఇష్టం 
ఈ సినిమా ప్రపంచ వ్యాప్తంగా భారీ విజయం
సాధించినందుకు చాలా ఆనందంగా ఉంది "
109,ramyarammy,11 months ago,"Kamal Sir Voice, Dance and Expression "
110,Atharvdas,1 year ago,Kamal sir nailed this choreography 
111,mathankumar4451,11 months ago,The energy
112,RAMESHKUMAR-fq8tn,1 year ago,Trust me Kamal Hassan has the best moves all time.
113,sandeepsandy1867,4 months ago,One of the best movie
114,aiyangokul3544,1 year ago,The perfection in his steps at this age is such a amazing  the legend of Indian film industry 
115,oggaming6666,1 year ago (edited),At the age of 67 his energy is unmatchable kamal sir is an Icon a living legend an inspiration and an acting institution 
116,starscream2692,1 year ago (edited),"At many instances in the song ( 1:25 and 1:41 for example ), you can see workers carrying sacks on their backs. This is a major plot point in the movie( Not spoiling for those who haven't watched it yet ). This movie deserves multiple watches. The amount of hidden details in this movie blows my mind. Best combination of masala and story"
117,32nivedtalla16,8 months ago,It's a blast
118,rainbow-pu5lf,1 year ago,Omg his voice 
119,Kirankumarkmaruthi21,9 months ago,Happy Birthday Ulaganayagan Universal Star Kamal Haasan Sir🇮🇳
120,tamilthotta,1 year ago,Wat a song. Ulaganayagan's dance hides his age️
121,rajapandi6921,1 year ago,Song Vera level anna ️️
122,abhinaygelela5246,1 year ago,Once a legend always stays legendary ️️
123,senthilsenthil5559,4 months ago,2:21 its my  favorite part
124,kingvinay3796,1 year ago,Energetic 
125,subsChallengeWithVideo-yh6cl,11 months ago,"எங்க ""தமிழ்"" பாடல்கள் எந்த வடிவத்தில் இருந்தாலும் ""அழகு"" தான்..️"
126,IsMaski,1 year ago,No one does it quite like our ulaga nayagan.. It was really a pleasure watching him on the big screen after a long time. Absolute legend
127,dilshansparadise8860,1 year ago,Encyclopedia of indian cinema ️ hail kamal sir ️
128,hema-db5zj,2 months ago,Semma song Kamal voice super
129,redrose8047,10 months ago (edited),"Watching Kamal Haasan is a pure entertainment ....whether he is 6 years old or 65 years old !!!! 
May God bless this lengend with long life & good health"
130,priyeshpk2243,1 year ago,Style+power+dance= kamal
131,hamimhasnat3950,5 months ago,At this age this human just blast the internet 
132,raghudhayalan,1 year ago,Single shot from 01:07 to 01:40 is 
