,Users,Date,Review_content
306,dhineshrogers9815,1 year ago,Most awaited song of India...such a wonderful and sportive song ....Kamal sir voice always unique  .... lyrics are currently issues are explained so well...over all steps so nice....well wishes to entire team.... வாழ்த்துக்கள் 
307,princemahi7429,1 year ago,Song superb....
308,Crafttech1281,1 year ago,"1- time Not bad
2- watching daily
3- addicted repeated everytime "
309,mayurkhandagale6857,8 months ago,Every song bgm story masterpiece
310,bangtanlovearmys7383,11 months ago,Super song ️️️
311,azmihussain5809,11 months ago,I like it 
312,falcomnazir9067,1 year ago,"உள்ளத்தில் காயங்கள் உண்டு அதை நான் மறக்கிறேன், பல வருடங்களுக்கு பிறகு சிரிப்புடன் உலக நாயகனின் பிரம்மாண்ட வெற்றி"
313,rahulshankwar289,1 year ago,This song was 
314,puspendumondal2729,1 year ago,Age [67] just is a number...Kamal Haasan sir on the fire! ️
315,shyamarajan5820,11 months ago,I like this song 
316,h.m4909,1 year ago,"Cool cool song ️
Love from Maharashtra ️"
317,hashiramasenju6114,11 months ago (edited),"Who Need Bollywood... When We Have Actors Like Stylish Icon, Makkal Selvan, Power Star, Mega Star, Superstar, King Naga And Many More..."
318,Kiirana,1 year ago,That Energy in his voice and Movements... Just Lit
319,PradeepKumar-zg6sj,1 year ago,I can't understand this song even than i love the song seriously
320,ravimancharlawar2087,1 year ago,I am From Maharashtra but I like This Song....️
321,dilnarose9900,8 months ago,Good song 
322,Ajaykumar-sk4ox,1 year ago,Vere level BGM...
323,tinisojan4146,9 months ago,Supersong
324,gokulkrish862,1 year ago,"For SuperStar Rajini - Marana Mass..!
 
For UlagaNayagan Kamal - Pathala Pathala..! 
For Ajith - Aaluma Dolluma..! 
For Vijay - Vaathi Coming..! 
For Suriya - Sodakku Mela..! 
For Dhanush - Maari Thara Local Song..! 
For SK - Jalabula Jangu..! 

Anirudh Ravichandran = GOAT..! "
325,chidhu31,1 year ago,Wat a energy Kamal Hasan 
326,romanreignsfanclub8872,1 year ago,World level  energetic dancing sir
327,nkedits778,11 months ago,Ulaga naayagan is back 
328,anjaliprasshand409,1 year ago,First ever commercial track I like watching and it’s surprising to see Kamal ji doing it
329,naveeng1752,9 months ago,Anirudh is biggest gift of tamil industry
330,aravindharavindh2847,1 year ago,"No words to say ""how Many times I watched My Mind say"""""" Pathala Pathala"" ""one word Aandavar on Fire "
331,rohithrh9378,1 year ago,இந்த song ah எத்தனை வாட்டி பாத்தாலும் பத்தல...
332,kvsurdas,1 year ago,"Kamal still packs a punch..!
"
333,PradeepPanday0730,8 months ago,"This is not a song it is a addiction.
Agree?"
334,ahmedj1983,1 year ago,Awww... that step when he puts shirt on head...amazing
335,vishnuashokan6484,9 months ago,Nice song.
336,777_MJPro,1 year ago,#1 trending on YouTube on Music. This music is fire. This is why Vikram is the best Tamil movie.
337,bigilbigil9632,5 months ago,Anirudh Vera level bgm
338,voiceofexplanation9083,1 year ago,Age is just number ️️‍ kamal Hassan ️️‍
339,kinggousepasha6428,9 months ago,My fav rockstar 
340,sanjayvarma-jm5bv,5 months ago,ultimate song i always listen to this because i was a drunker
341,cse0355,8 months ago,The real essence is present in this Tamil version which I like the most.. although I don't understand the lyrics it's gem of a composition from Anirudh.
342,k.sha_v,1 year ago,"Missing : ""ஒன்றியத்தின் தப்பாலே ஒனியும் இல்ல இப்பாலே சாவி இப்ப திருடன் கையில தில்லாலங்கடி தில்லாலே""  lines ️"
343,sheelarejimon8920,3 months ago,പൊളിസീൻ
344,mohanakrishnan5597,4 months ago,Kamal sir master piece of Indian cinema
345,RushRipley,6 months ago,I just watched the movie and this is probably the best movie I ever watched ..other than Kaithi...Tamil movies are on par wt or better than Hollywood
346,SAHIL-mc3hl,1 year ago,"Someone translate the meaning 
Its addictable song "
347,ibrahimmk9968,11 months ago,Super song 
348,dextergaming2588,1 year ago (edited),"1:08 ""That single shot steps
Steps
Timing
Swag
Simpley Awesome️️️"
349,juneadullashariff9178,1 year ago (edited),"Kids @ the age of 67 - plays an decent father's role.

Adults @ the age of 67 - plays an Strategic Villian role holding Cigar pipe (without any actions)

LEGENDS @ the age of 67 - Plays an Dynamic Hero Role with Huge Action Scenes and Terrific Dance Moves.... 

Shri Kamal Haasan Sir, u are always an Legend..
Love from Karnataka "
350,gugangugan4740,7 months ago,Addict this song
351,channakeshava4548,13 days ago,Super song nice Kamal hassan  song
352,sanjibrana5205,7 months ago,Wow amazing song Kamal sir ️️
353,anasfateh4369,5 months ago,Nice
354,riyanasherin8734,1 year ago,What a voice what a song what a dance ️️️️Just awesome
355,Aklenin123,1 year ago,Dance of legend vera level
356,naveennk8808,1 year ago,My Daughter Haripriya's Fav Song 
357,KaraOsman13,1 month ago,1:48 I am here for that dance steps  watching so many times on meme template
358,june_says_hii,1 year ago,Obsessed 
359,Senthilkumar-cy7cg,11 months ago,Super   songs
360,splendersaran6462,1 year ago,"நீ பெரும் கலைஞன்
நிரந்தர இளைஞன்
ரசனை மிகுந்த 
ரகசிய கவிஞன் 
 என்றும் உலக நாயகன் கமல் ஹாசன் தான் Hats off to Universal Hero Kamal Hassan Congratulations All The Best Thank you ️️"
361,shahharshil4396,1 year ago,I can't but this 
362,n.s.kirankumarkumar9290,11 months ago,@01:08-01:40 That Steps Are Just ️️️️️️️️️️ Love You Aandavare
363,INSANE2654,10 months ago,Hats off for bgm
364,chaanchaan6851,1 year ago,இந்த வயதில் இப்படி ஒரு ஆட்டம் 
365,sweetliquor2627,4 months ago,just awesome
366,strager2020,1 year ago,"Kamal Sir's passion towards films for his age,energy,dedication just universal level ."
367,nilankanbarman1060,9 months ago,Just Fire
368,abhinavkrishnadp1292,1 year ago,Theatre experience 
369,rahulravikumar3935,11 months ago,Poli song 
370,crazygaming5020,1 year ago,Every Sir are the legendary actor. And the best movie forever 
371,DhineshKumar-ew8bq,3 months ago,Semma paattu and Feel this music 
372,mysprvn1710,1 year ago,1:08 Goosebumps in theatre  #Aandavar 🫰
373,whygaming..8380,3 months ago,"1:9 to 1:40 they perform in one take it is very difficult salute kamal sir,lokesh kanagraj sir,sandy,and anirudh sir"
374,ffsharp9938,1 year ago,️️️
375,balukb,1 month ago,
376,Subanath,1 year ago,I dont understand single word of this song but love it
377,JayaLakshmi-gf7gb,3 months ago,  happy song  
378,sullyv2100,1 year ago,"Muito contagiante a música, a dança, o cenário...ficou tudo muito bom!  gostei!"
379,ashashroff1700,11 months ago,"THE KNIGHT OF THE EMPIRE WHERE SUN NEVER SETS. 

HER MAJESTY'S FAVOURITE ARTIST, THE ONE ONLY DR. PADMA SHREE, KAMAL HASSAN."
380,SiddhuGuguloth,1 year ago,"If Listen Twice this Song You Can't Stop Listen again ""Experienced""  "
381,kashiramk7046,10 months ago,Superb. 
382,manikandans2280,1 year ago,Pathala pathala song vera level
383,latheefak988,7 months ago,Legend
384,abdulkalic9508,1 year ago,இந்த பாடல் வெளியானதிலிருந்து இப்பாடலிற்கு நான் அடிமையானேன் இன்றுவரை மீளமுடியவில்லை  
385,arraswapna3833,1 year ago,What is a beautiful song
386,ds_0799,1 year ago,"I'm addicted to this song and I don't know why 
love you Kamal Haasan sir ️️
still going dashing "
387,rajnaik2562,11 months ago,My favourite song
388,jewelpativlogs3987,1 year ago,"Age is just a number ️
Hence proved"
389,kingkapil4193,4 months ago (edited),"Actor Kamal Haasan is the only singer and actor who has sung with four generations of composers: MS.Viswanathan, Ilaiyaraaja, Sankarganesh, chandrabose,AR Rahman,Karthik raja, Yuvan Sankar raja,Deva, Vidyasagar, Bharadwaj, Devisri Prasad, Gibran, Anirudh."
390,HERO-kf4sc,1 year ago,Iam Thalapathy Vijay Fan But I Love Aniurdh Songs ️Loki Movies Kamal Voice = Universe Of Kollywood Cinema Become Top
391,malinduthalgahagoda2967,1 year ago,Legend is  back 
392,rajam618,1 year ago,Semma song
393,rupanjanchatterjee3652,8 months ago (edited),"Kamal Hasan Age 68 ? 
Hats Off Legend  "
394,movie2185,1 year ago,Vera level song steps
395,rupeyy300,2 weeks ago,Ulaganayakan Kamal Hassan Proud of Nation 
396,nandhinipandian6112,1 year ago,"His dance, expressions, acting... Love for cinema.... Always make us to love him more ️️️️️ love you Thalaiva  ️️ ️"
397,somasundram9556,1 year ago,பாடல் வரி அதற்க்கு ஏற்றே ஆண்டவர் நடனம் சூப்பர் 
398,KarthiKeyan-vo8vg,11 months ago,Vera  level
399,MeenakshiSiva-no7yk,4 months ago,Super 
400,romanreignsfanclub8872,1 year ago,Kamal Hassan is going like petrol price day by day 
401,maulikbarot9428,11 months ago,samaj nai aaya lyrics bt it gives me goosebumps and kamal sir ka dance just loved it itni age mein bhi so simple and movie was bawaall waiting for vikram 2
402,Roshan_99,1 year ago,"1st time - not bad ️
2st time - good song 
3st time - wow song 
4st time - vere level song 
5st time - addicted .         anirudh Kamal combo "
403,arvindramprasad5630,2 months ago,Brilliant Pakka Madras Basha Lyrics from Andavar. And Rocking Composition from Ani.
404,amitthakker101,1 year ago,All Actors all vikram movie team superb work 
405,Gaming-bun,9 months ago,எனக்கு இந்த பாடல் பிடிக்கும்
406,pallavidongre7897,1 year ago,Blockbuster Movie and the Song :) Love from MAHARASHTRA <3
407,dipanjangupta632,10 months ago,"I love the ""base"" part"
408,astergarden968,1 year ago (edited),"60வயது ஆனாலே கை வலிக்கிறது...கால் வலிக்கிறது..மேல் வலிக்கிறது என்று சொல்பவர்களை பார்த்திருக்கேன்..
ஆனால் 68 வயதில்  இப்படி ஆடுபவர்களை பார்த்ததில்லை. செம எனர்ஜி "
409,tannu57,1 year ago,kamal hassan sir wat a actor the living legend energy level at this age just amazing the only versatile actor  of india
410,Prashantyadu29,1 year ago,Pathala pathala song love from chhattisgarh ️️
411,freefiregalaxy721,1 month ago,Pathala pathala fans from Bangladesh...!
412,vemulasravan6,1 year ago,Kamal sir.. you’ve rocked ️ from Hyd
413,karthickn1783,6 months ago,Super dance super song kamal sir
414,christieejoee6461,1 year ago,"This is why we call him ""ULAGA NAAYAGAN"", ""AANDAVARE"", What a Power , dance and voice"
415,franksolomonalaipparaigal4862,10 months ago,Veral level song Kamal sir dance
416,stephenanto5409,6 months ago,"Kamal The LEGEND ,"
417,govindhana7704,10 months ago,Mass super song
418,sabareesp609,1 year ago,I addicted by this  song
419,sandeepsandy1867,4 months ago,Great sir
420,kishan2k21,1 year ago,Waiting for Vikram on Hotstar on July 8th. The theatre experience was just  will watch atleast 5 times on OTT
421,athulox2952,1 year ago,For the 'n'th time am listening this masterpiece 
422,tuber9272,1 year ago,I can't understand this song but it is addicted for me
423,akilanakilan2207,3 months ago,Vibe uhhhh 
424,shahirameen8021,1 year ago,എന്താ ഒരു എനർജി ആണ് കമൽഹാസ്സൻ sir... 
425,sakthisakthi3311,11 months ago,️
426,sanjai.g4776,1 year ago,Kamal sir energy at this age is mind-blowing.. always happy to see him..love u Kamal sir for entertaining us for so long years
427,sumitsingh6411,11 months ago,Fire 
428,kadugu1398,7 months ago,Still watching freshness of Ulaga nayagan voice beautiful looks also
429,twinthrottlersfamilyfarisv1495,6 months ago,Vera 11 song vibe
430,shahrulhasansohel1718,1 year ago,"wow kamal sir singing...
mindblowing man...

love u sir.from🇧🇩"
431,user-fi2hj1xr2p,11 months ago,Vibe mode
432,shebi7771,1 year ago,What an energy level at this age! Hats off you aandavar! 
433,marxist4411,1 year ago,"Aandavar Vilayattu 
#vikram"
434,brokemyteeth3709,11 months ago,Best song ever 
435,mslegend2677,11 months ago,Vikaram song super 
436,kals6738,1 year ago (edited),Kamal sir your cuteness overloaded..wonderful dance me and myson admired on you dance movement. Chancese illa sir.
437,vaishnavij4396,10 months ago,VIKRAM🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳
438,dharmafun3985,1 year ago,"யார் என்று தெரிகிறதா
 இவர் தீ என்று புரிகிறதா தடைகளை வென்றே சரித்திரம் படைத்தவன்
 உலகநாயகன் கமலஹாசன் ஞாபகம் வருகிறதா "
439,d.damodaramdasari170,1 year ago,Vere level song
440,silviasalinas4588,1 year ago,No sé que dice pero me hace bailar️🇵🇾
441,satishbezawada-karaoke7656,11 months ago,superb song
442,aswins-bot3099,1 year ago,"singer , lyricist , actor , producer: Kamal sir. patt ezhuthalam padalam act pani  industry hit akalam  yellam kamal sir tha mudiyum️"
443,saravanakumaru2524,10 months ago,Kamal sir u r great
444,bdovp7151,1 year ago,"I expect uncut version but so sad
But his passion towards cinema is ultra level no one equal him"
445,thomasjose771,1 year ago,ഈ പ്രായത്തിലും ആണ്ടവരുടെ ഡാൻസ്  ബിഗ് സല്യൂട്ട് 
446,Rathoderao,11 months ago,I love kamal sir dance
447,niranjanponnuse7666,11 months ago,Good song
448,WalkInMyShoesOfficial,8 months ago,Pathala Pathala Fan from Karachi ️️ Mast Song Hai Yr #kamal sir is legend
449,HafizurRahman-qx1yt,8 months ago,Good song
450,ChristopherNolan0,1 year ago,1:55 That moment ️
451,gpsgamers6898,10 months ago,Pathala Vera Vera Vera level
452,altajnaseem8624,1 year ago (edited),"When i watched first time this scene i was literally  1:22 

But now this is my favourite song ever"
453,karthisasi5285,9 months ago,Andavar Sema mass acting or dance acting I love ️   ️   ️   ️ kamal sir
454,poojapooja5684,1 year ago,Vera level song
455,bindujoseph4389,6 months ago,Super 
456,rahulaugustine4217,1 year ago,"I'm a 2k kid i can proudly say that thr is no any other actor in the world Like Kamal sir ,What he is done to Indian cinema is Unmatchable by anyone️️ many 2k kids don't know wt Andavar is I beleive This movie #Vikram showed them what really Ulaganayagan is ,make way it's again Andavar's era .The Encyclopedia of Indian cinema ️"
457,abhishekandrap3283,1 year ago,Kamal hashan sir awesome energy super 
458,venkatnath7872,8 months ago,"Then : Kandasamy Ramasamy 
Now : Pathala Pathala 
Aandavar still rocks.. with the same energy then and now.. Still he's a pro in singing the song in Chennai Slang .."
459,pankajtalukdar7202,10 months ago,Must movie it's lokesh power
460,abinnazar614,1 year ago,Kamal hassan sir heavy  love from kerala
461,BROKENHEART-rz1bs,11 months ago,Nice songs.
462,alternatively5910,1 year ago,"We all realised two things after watching this song in the theatre: 

1. How Mr. Kamal Hassan is a class apart and the existing actors are of no match to his presence, mannerisms and sheer swag. 

2. How much we missed him on the silver screen!"
463,sachinkengar4323,1 year ago,"Kamal sir is very energetic man , I can not understand this language, because very energetic , I am from maharashtra"
464,suriyagamingtamil,1 year ago,Vera level 
465,sakthisakthi3311,11 months ago,Super super ️️
466,prateekdubey3500,1 year ago,Just awesome ️ kamal sir
467,arunvava6563,11 months ago,
468,akhilks6817,1 year ago,"What a movie and what a song
Love from Kerala"
469,emmanuvalpaul7927,4 months ago,only kamal love from kerala love you tamilnadu brothers
470,javithmeeran2646,10 months ago,Example of Real fanboy sambavam  tharam 
471,mahimaullasmadathil3177,10 months ago,Super
472,soham776,1 year ago,"At the end of the version, we see the most childlike version of Andavar. So classy to watch."
473,greeshma.kugreeshma5830,10 months ago,Super
474,monishv3511,1 year ago (edited),From this vedio we can conclude that the age is just a number and nothing is impossible in this world hat's off Kamal sir 
475,bundleadjuster,6 months ago,1:28 best part of this song. Change my mind. #Ulaganayagan
476,rikitmistry2915,1 month ago,Age it's just number kamal hasan sir provd what a dance and energetic 
477,andrewrajan506,10 months ago,Super
478,mathiarasan1194,1 year ago,Pathala pathala intha songaa keka keka.... Craze on this song 
479,gokulasankar4865,10 months ago,Super
480,prasathrajkumar489,1 year ago,"இந்த மனிதனுக்கு எவ்ளோ வயதானாலும் அவருடைய வெறித்தனம் அப்படியே தான்
இருக்துபா ️,avlo dedication nd udambu full ah knowledge"
481,gallicricket,11 months ago (edited),ULAGANAYAGAN at age 68...Wow...diehard fans and Love from Telangana
482,revathisugirakki7594,1 year ago (edited),Ayyo janaki voice pa vera level ️️️️️️
483,rasakkk942,10 months ago,Supper
484,teamakvp8001,9 months ago,ʟᴏᴠᴇ ꜰʀᴏᴍ ᴋᴇʀᴀʟᴀ ️
485,yuvaneshvenkatesh5789,10 months ago (edited),Dear friends and family - this song super or not tell in comments please tell| Kamal hassan sir fans here   
486,NithinRajSinger,1 year ago (edited),For real kamal rasigan this movie is a sentimental one ( don't get surprised if you see a kamal fan with tears of joy watching this) ..when you see mass loving Kamal like never before the joy is tripple fold for the fact that this man deserves this mass support .. not choosing the repetitive route he always chose the road not taken in terms of movies he chose for the sheer value of bringing newness and variety for audience.. which kept him away from the mass radar .. now he is back ..  you name any superstar in this world kamal can do what they do at their best but no one can do what he does ..period !
487,440Videos,1 year ago,"01:08 துவங்கி       01:39  வரையில் Single Shot!!!  இயக்குனர்களுக்கும்  ஒளிப்பதிவாளர்களுக்கும்
லட்டு மாதிரி ... தலைவரோட  energy level     வேற ! "
488,ron3926,3 weeks ago,Not a single word I do understand.. still enjoying.. salute to South industry to make Bollywood understand their level... Now they have started saying Indian film industry 
489,blindgaming5831,10 months ago,Poli 
490,studyadda6233,1 year ago,I'm from Andhra Pradesh I don't know meaning but i enjoyed a Lot 
491,jojojoseph5662,1 month ago,Andavar rocks
492,roroproduction1241,1 year ago,I am a big fan of andavar in sri lanka ....he is a gold in tamil cinema...no one can replace of a years and years...
493,Avis4134,1 year ago,"This is what happens if he focus on commercial films.
400 crores  "
494,sasireka348,1 year ago,My 10 month baby like this song what a magic
495,dhanaramdhanaram5137,7 months ago,Very .....................nice..................song
496,scythe6558,1 year ago,Those who heard this for the first time felt like it's kinda shit but after hearing like 4 5 times my man.... Only thing u hear is this cz ur addicted to this af.....️️️️ LOVE FROM KERALA....️️️
497,Celine-md3zx,11 months ago,️️️
498,rajasekaran.m4566,1 year ago,"இது ஆண்டவருக்கு மட்டுமே உரித்தான ஆட்டம்!
ஒரு நீண்ட இடைவெளிக்கு பிறகு  மகிழ்ச்சியான ஆட்டத்தை வெளிப்படுத்தி இருக்கிறார்"
499,brightchappals,8 months ago,Even after 40 years his voice is sweet
500,krishnaprasadvp2737,10 months ago,Only one name “Anirudh”
501,mallareddy5687,10 months ago,Wow  my favorite song
502,fail_engineer69,1 year ago,How anirudh makes so much lovely song one by one . How????
503,praneshkanna81,11 months ago,The best
504,VishnuThapasya,1 year ago,What an E N E R G Y ..!! Totally loved it. Could feel that Adrenaline flow right through the veins ... 
505,nagarajans8838,1 year ago,இந்த வயதிலும் அற்புதமாக ஆட முடியும் என்றால் அது உங்களால் மட்டுமே முடியும்...
506,rajendran.g175,1 year ago,Vera level 
507,shhsjsjjenejjejej6129,11 months ago,Super
508,arun2682,1 year ago,Fire 
509,abhishekthozukkanz,1 month ago,
510,Tune_Center,1 year ago,This also added to One of the The Best  Songs  sung in #Aandavar Voice .
511,dontjudge1672,5 months ago,Legend dance 
512,jishavinay2944,1 year ago,പത്തല്ല സോങ് സൂപ്പർ ️️️️️
513,premsunanthamary6271,9 months ago,Super
514,virginabudhabi7093,1 year ago,Vere level !!! Love from Abudhabi
515,loganathans881,9 months ago,Super
516,Rajeshrktv,1 year ago,மிகவும் ஆவலுடன் எதிர்பார்த்த பாடல்.....   தமிழ் திரை உலகில் வசூலை வாரி குவித்துள்ளது ... மெகா சூப்பர் ஹிட் அதிரடி வெற்றி
517,sy.2439,1 month ago (edited),Super song kamal sir eppaume mass 
518,rishiraj2005,1 year ago,Ultra legend Kamal Hassan sir fan from Kerala ️️️️️️️️
519,ashishtaru3778,8 months ago,Super
520,nkedits778,11 months ago,Full bass 
521,ALWAYSISOONTOP,7 months ago,Super
522,boogeyshorts2345,1 year ago,I have been addicted to this song since it's release & have not been able to recover ️️
523,9995335104,1 year ago,ഇത് ഇപ്പോൾ ദിവസവും കേൾക്കണം എന്നായി  
524,ShubhamKumar-vi2hm,11 months ago,Kamal Hassan sir has proved that age is just a number my friend 
525,arifaskitchen5985,11 months ago,Super 
526,taebtsriya3233,11 months ago (edited),What a voice kamal sir  evaruku age agave ella pa still young man mass dance
527,praveengamers9021,11 months ago,2:10 mass
528,hymavathiyaddanapudi9671,1 year ago,"At the age of 68 there are several persons in the world who has grace, style,power in telling diaolgue and so onn one person is  the Legend Of Indian Film industry our Kamal Hasan Sir"
529,r.manonmaniramesh5202,1 year ago,Kamal super hero sema cute dance ️️️
530,mmuthuraman21,1 year ago,"ஆண்டவர் டான்ஸ் செம 
ஆண்டவர் குரலில் பாடல் செம 
ஆண்டவர் வரிகளில் பாடல் செமயோ செம "
531,vijayyours,3 months ago,Super
532,iamankit3322,10 months ago,1:55 what a scene seeti maar scene....his dance moves rapchik Kamal sir all time favourite
533,rickmondal8306,11 months ago,superhit....kamal hasan sir
534,chris-vb1bj,1 year ago (edited),SUCH A ICONIC SONG BY KAMAL HASAN AND ANIRUDH  . LOVE FROM ASSAM . 
535,tobispesworld2989,1 year ago,Best comeback ever
536,kanguvel9706,8 months ago,my favourite song ️
537,mallikarjunas5630,9 months ago,
538,saralaravikumar9995,1 year ago,
539,shibinbabumugalkalayil4299,7 months ago,We need full version
540,atozmedia1998,1 year ago,படம் எவ்ளோ time பாத்தாலும் எங்களுக்கு பத்தல ️
541,lekshmananV,1 year ago,நீங்க தான் Sir உண்மையான Legend.
542,deepankumar7683,9 months ago,Only one aniruth music unbleaveble
543,mrblacksheep9745,7 months ago,இந்த ட்ரென்டிங் பாடலை 2023ல் கேட்டு ரசிப்பவர்கள் யார் யார் ஒரு லைக் போடுங்கள் ️
544,hemanthkumar6054,6 months ago,உலக நாயகன் வேற லெவல்
545,sivathana3182,11 months ago,Nice to the song
546,joeymeme4291,1 year ago,"Kamal sir age like wine

What a dance "
547,ghostriderzgang3001,1 year ago (edited),VibePathala da
548,nimaps7538,1 year ago,Polii song 
549,danchantutorialsg4082,7 months ago,His dance
550,easylearnwithsuganya4099,1 year ago,What a dance ️️️️️️️️
551,harisudharsan7857,8 months ago,Song good ️
552,user-nm4yx8ih5n,1 year ago,Kamal Sir's Powerfull Voice and Ani's Music..️️
553,anooprethnan3515,1 year ago (edited),"Kamal sir
️️️ from kerala"
554,muhammadifthikarulhaque1599,1 year ago,പൊളി song ആണ് anna
555,ganeshkannan2420,10 months ago,"Second line of this song is my favorite.Kuthara coma,Kuthara coma pota pule nee sethiri Vida Dey.Nee uthar Vida Dey."
556,AnjithD,1 year ago,"Meaning of the lyrics causing chaos among some political supporters...! Cheers for that. 

இப்போது இந்தப் பாடலை இன்னும் அதிகமாக விரும்புகிறேன்"
557,ArunKumar-cg2ds,9 months ago,
558,suren2887,1 year ago,0:09 Perfect Goosebumps Loki Things ️
559,shivushiva8197,6 months ago,ಕಮಲ್ ಸರ್ ಆಕ್ಟಿಂಗ್ ವಾಯ್ಸ್ ಡ್ಯಾನ್ಸ್ ಎಲ್ಲ ಸೂಪರ್
560,blackstars9168,1 year ago,Thalaivar kamal sir
561,sanjanaasanju7811,11 months ago (edited),Pathala pathala from tamil nadu️️️
562,jandjcreationjijith1957,11 months ago,"Lyrics: Kamal Hassan sir
Singer : Kamal Hassan sir
Still all rounder be Kamal sir in any era ...."
563,kalikali8072,9 months ago,Superb song
564,ArifCReAction,1 year ago,Simple but Graceful and Stylish Steps. What an energy . Hats off to Kamal Sir and Team. 31 Seconds Single Shot From 1:08 To 1:39. Wow!!! ️️
565,jenin9127,10 months ago,"உலக நாயகன் 
Enjoyed the song  தரமான song"
566,sharathrkhandoji7831,1 year ago,"Really am Mad about this song 
Bigg fan of Kamal Haasan sir from Chikkamagalooru Karnataka .."
567,kumarjb28single65,11 months ago,"Super sir ,,,,,,,,,,,️️"
568,sharathsharan4556,10 months ago,
569,rahulmahadevan3282,11 months ago,"South Indian cinema proves that Indian cinema is not just Bollywood
Earlier  used to watch at least one Hindi movie, but not now, everything that goes down there is garabage Power Varatte South India️"
570,cinemacompany7460,1 year ago,കേരളത്തിലെ പിള്ളേർ ഇങ്ങോട്ട് വാ 5 വർഷം  ഫീൽഡ് ൽ ഇല്ലാഞ്ഞപ്പോ തീർന്നു എന്ന് വിധി  എഴുതിയന്മാരുടെ നെഞ്ചത്ത് റീത്ത് വെച്ചു  Pan Indian Industry ഹിറ്റ്‌ Waiting 4 Part 2
571,clintonmark5232,5 months ago,Fuck awesome !!!!! He is the only man who is a legend !!!! Nobody can replace him
572,anshijamshi4831,1 year ago,Love frm kerala️
573,sudheesh.pa.5493,1 month ago,
574,victorbenny3270,1 year ago,Vera level Thalaiva Kamal sir you're always great Geththu Thalaiva Kamal sir only..
575,sathishsrnbaby772,7 months ago,World master of acter Kamal sir
576,Jb_theBlakes,1 year ago,"the grace which kamal brings onto his dance is unmatchable..
...# we want more from you Kamal Hassan Sir..."
577,vickyofficial4394,1 year ago,Pathala pathala love from Assam ️
578,_Ananthan,1 year ago,1:08 uff vere level 
579,hrmgmt,1 month ago,
580,neelyanirupat.p.thrissur6864,1 year ago,
581,aswathybabu1728,9 months ago,Pathala Pathala Songs Is So Cool
582,srikantholety8514,1 year ago (edited),"That one step smashed all TN records nd became Industry Hit.
Ulaga Nayagan 
Alagiya Tamilan 
Sakala Kala Vallabhan 
Nata Thilakam Kamal Sir 
Love from Karnataka"
583,Debadutta-nb3rg,1 year ago,Love you sir ️️
584,nishanthd3875,1 year ago,What a comeback by anadavar
585,lakshumisusmithra9017,5 months ago,️️
586,mitraadhikary4047,8 months ago (edited),"Waiting for long video song , Kamal sir nailed it  #Pathalapathala ️"
587,vishveshs8145,8 months ago,This song is very cute
588,amritapanchmishali,1 year ago,"“You cannot change your future, but, you can change your habits, and surely your habits will change your future.”
             - DR APJ ABDUL KALAM... ️"
589,suharanasarsuhara3994,1 year ago,Kerala of real song
590,jamilhossain219,11 months ago,অনেক সুন্দর 🇧🇩️
591,bathalaudaykumar,6 months ago,Best Tamil Song... Kamal sir movie's
592,Dinesh-ii3lm,1 year ago,Pathala pathala song semma
593,thasneemshareef5239,10 months ago,Pathala pathala fans from kerala
594,bairunaveen8799,1 year ago,That climax ending walk of  #VIKRAM verey level...️
595,rsram9733,1 year ago,"Kamal: Aiyoo... Janaki voice paawww...
Kamal fans: Aiyoo... Kamal voice paawww... "
596,9502689129,1 year ago,"An old man dancing like a youngster
Soo good"
597,sundarsankari5554,9 months ago,Mass
598,KOMBAN456,1 year ago,
599,margretbabu4148,10 months ago,
600,mehedi.bhuiyan,1 year ago,After watching the first step I felt that AGE is just a number. How energetic voice & dance step at the age of 68...
601,vidhyakirubakaramohan5377,2 months ago,Proved he is a dance master
602,balanagaraj3878,5 months ago,thalaivan kamal hasan ️️️
603,pennypraveen6862,11 months ago,Nice and 
604,sivaperumal7429,11 months ago,Vera levels
605,murugavelmurugavel4643,9 months ago,Vera lavel 
606,rafehhashmi4290,1 year ago (edited),South Indian Cinema is taking over Bollywood with a bang! Unmatched Energy!
607,9au717,1 year ago,Marana mass in 2019 and patha pathala in 2022.. VERAAAAAA LVLLLLLLLLL.
608,KoLaaruThamizhan,1 year ago,0:12 - 0:16 aandavar oda antha shoulder moment 
609,PrayasRahangdale,5 months ago,MASSS! 
610,kaushiksiddha9698,10 months ago (edited),Pathala pathala fans Telangana.....what a Massy song
611,abmoorthy,7 months ago,Nice
612,LCBQ1991,1 year ago,Life time settlement who can match his acting skills in Indian cinema... Legend in every way 
613,NivedyaArtandCraft,1 year ago,MY FAVORITE SONGDJ പൊളി
614,reghunathan3744,1 year ago,
615,chiruchiru840,6 months ago,"ಕಮಲ್ ಹಾಸನ್ dance is super, ನನ್ನ ಹೀರೋ"
616,avanigaddasachivalayam8463,1 year ago,Play 1.25× semma mass
617,AKRAM81502,6 months ago,Kamal Hassan sir 
618,harl5397,1 year ago,"Then: Ulaga Nayagan
Present: Andhavar
Forever: Kamal Hassan ️
Looking forward for undeleted version of Vikram and this song."
619,kumarshalini9569,1 year ago,Semma valthukkual for vikarm movie and semma song
620,l.sulochanal.sulochana3055,1 year ago,Othi super song.   ️️️.   ️️️
